Product_code;Product_name;;
821226;Фильтр кофе 300мл;;
821227;Макиато на сое 40мл;;
821228;Американо Доппио 120мл;;
821229;"Латте ""Зима"" 230мл";;
821230;"Латте ""Зима"" соя 230мл";;
821231;Кафе де Франс 100мл;;
821232;Кофе АмерЭкстра с/с 120мл;;
821233;Кофе по-французски 100мл;;
821234;Кофе Эспрессо М 30мл;;
821235;Кофе Доппио М 60мл;;
821236;Айриш кофе М 150мл;;
821237;Ф-Пр Коста Рика 240мл;;
821238;Ф-Пр Коста Рика мол 240мл;;
821239;Ф-Пр Колумбия 240мл;;
821240;Ф-Пр Колумбия мол 240мл;;
821241;Американо 170мл;;
821242;Кемекс Гватемала 500мл;;
821243;Кемекс Эфиопия 500мл;;
821244;Кемекс Колумбия 500мл;;
821245;Кемекс Браз Бурбон 500мл;;
821246;Кемекс Коста Рика 500мл;;
821247;Кемекс Гватемала 250мл;;
821248;Кемекс Эфиопия 250мл;;
821249;Кемекс Колумбия 250мл;;
821250;Кемекс Браз Бурбон 250мл;;
821251;Кемекс Коста Рика 250мл;;
821252;Карамельный кофе 200мл;;
821253;Кофе с Hennessi 100мл;;
821254;Фр-пр соя Эфиопия 200мл;;
821255;Фр-пр соя Бразилия 240мл;;
821256;Фр-пр соя Коста-Рик 240мл;;
821257;Фр-пр соя Колумбия 240мл;;
821258;Фр-пр Кения на мол 250мл;;
821259;Фр-пр Кения на сое 250мл;;
821260;Фр-пр Кения 250мл;;
821261;Кемекс Кения 250мл;;
821262;Кемекс Кения 500мл;;
821263;Эспрессо-фредо малина 250;;
821264;Эспрессо-фредо лимон 250м;;
821265;Эспрес-фредо малина 130мл;;
821266;Фильтр Пор Овер 230мл;;
821267;Эспрессо 50мл;;
821268;Двойной эспрессо 100мл;;
821269;Айс кофе 350мл;;
821270;Д/Л Айс Шок-М 300мл;;
821271;Д/Л Айс Кокос 300мл;;
821272;Д/Л Айс Банан 300мл;;
821273;Д/Л Айс Имб Пр 300мл;;
821274;Д/Л Айс Лес Ор 300мл;;
821275;Д/Л Айс Ваниль 300мл;;
821276;Д/Л Айс Айр/Кр 300мл;;
821277;Д/Л Айс Карамель 300мл;;
821278;Д/Л Айс Мята 300мл;;
821279;Д/Л Айс Мин М 300мл;;
821280;Фильтр Пор Овер 300мл;;
821281;Фильтр кофе 230мл;;
821282;Бамбл 300мл;;
821283;Фр-пр Кения/м 250мл Перс;;
821284;ФР-пр Колумб/м 240мл Перс;;
821285;Фильтр Пор Овер 400мл;;
821286;Фр-пр Гватем на сое 240мл;;
821287;Пор Овер Бразилия 230мл;;
821288;Пор Ов Эль Сальв Ирг 230м;;
821289;Пор Овер Кения 230мл;;
821290;Пор Овер Эфиопия 230мл;;
821291;Пор Овер Коста-Рика 230мл;;
821292;Пор Овер Гватемала 230мл;;
821293;Пикколо 130мл персонал;;
821294;Фр-пр Эль Сальв соя 280мл;;
821295;Кемекс Эль Сальвадор 500м;;
821296;Пор Ов Эль Саль 230мл;;
821297;Кемекс Эль Саль 500мл;;
821298;Фр-Пр Эль Саль 250мл;;
821299;Фр-Пр Эль Саль мол 250мл;;
821300;Фр-Пр Эль Сал соя 250мл;;
821301;Кемекс Панама 500мл;;
821302;Пор Овер Панама 230мл;;
821303;Ф-Пр Панама 240мл;;
821304;Ф-Пр Панама соя 240мл;;
821305;Ф-Пр Панама мол 240мл;;
821306;Кемекс Суматра Б/Б 500мл;;
821307;Пор Овер Суматра230мл;;
821308;Фр-Пр Суматра Б/Б 240мл;;
821309;Фр-Пр Сумат Б/Б соя 240мл;;
821310;Фр-Пр Сумат Б/Б мол 240мл;;
821311;Пор Овер Коста Рика 200мл;;
821312;Пор Овер Панама 200мл;;
821313;Пор Овер Суматр Б/Б 200мл;;
821314;Пор Ов Эль Саль 200мл;;
821315;Пор Овер Эфиопия 200мл;;
821316;Айс Пор Ов Кост Рик 250мл;;
821317;Айс Пор Ов Панама 250мл;;
821318;Айс Пор Ов Суматра 250мл;;
821319;Айс Пор Эль Сальвад 250мл;;
821320;Айс Пор Ов Эфиопия 250мл;;
821321;Айс Пор Ов Гватемал 250мл;;
821322;Айс Пор Ов Кения 250мл;;
821323;"Латте ""Зима"" 400мл";;
821324;Сифон Коста Рика 120мл;;
821325;Сифон Суматра 120мл;;
821326;Пор Овер Кения 200мл;;
821327;Пор Овер Гватемала 200мл;;
821328;Пор овер Гват с/с 250мл;;
821329;Пор овер Кения с/с 250мл;;
821330;Пор овер сум с/с250мл;;
821331;Пор овер эфиоп.с/с250мл;;
821332;Пор Овер Sidamo 200мл;;
821333;Пор Овер Sidamo C/C 250мл;;
821334;Фр-Пр Sidamo 240мл;;
821335;Фр-Пр Sidamo молоко 240мл;;
821336;Кемекс Sidamo 500мл;;
821337;Пор Ов Кос Рик с/с250мл;;
821338;Фр-Пр Sidamo соя 240мл;;
821339;Фильтр кофе 200мл;;
821340;Айс Пор Овер Sidamo 250мл;;
821341;SLOW BAR 450мл;;
821342;SIMPL BAR PANAMA 150мл;;
821343;SIMPL BAR KENYA 150мл;;
821344;SIMPL BAR SALVADOR 150мл;;
821345;Кемекс Боливия 500мл;;
821346;Пор Овер Боливия 230 мл;;
821347;Айс пор овер Боливия250мл;;
821348;Пор Овер Боливия с/с250мл;;
821349;Френч-пресс Боливия 240мл;;
821350;Фр-пр Боливия мол 260 мл;;
821351;Латте 400мл;;
821352;Кофе эспрессо декаф 90мл;;
821353;Форест Бэри Кения 250 мл;;
821354;Пр Ов Эль Сальвадор 200мл;;
821355;Пр Ов Сальвадор с/с 250мл;;
821356;Фр-пр Эль Сальвадор 250мл;;
821357;Фр-пр Сальвадор мол 250мл;;
821358;Кемекс Sidamo W 500 мл;;
821359;Пор Овер Sidamo W 200 мл;;
821360;Пор Ов Sidamo W с/с 250мл;;
821361;Фр-пр Sidamo W 250 мл;;
821362;Фр-пр Sidamo W мол 250 мл;;
821363;Дегустационный сэт;;
821364;Фр-Пр СидамоW на сое250мл;;
821365;ПорОвер Bossa Nova 230мл;;
821366;Пор Овер Руанда 230 мл;;
821367;Пор Овер Руанда с/с 250мл;;
821368;Фр-Пр Руанда 250 мл;;
821369;Фр-Пр Руанда молоко 250мл;;
821370;Кемекс Руанда 500 мл;;
821371;Фр-Пр Руанда на сое 250мл;;
821372;Айс Глильяж 300мл;;
821373;Пор Овер Руанда 200 мл;;
821374;Фильтр кофе 230 мл;;
821375;Кофе Глясе 100 мл;;
821376;Черри Руанда & X.O.250 мл;;
821377;Кемекс Yirgacheffe W500мл;;
821378;Пр Ов Yirgacheffe W 200мл;;
821379;ПрОв Yirgacheffe с/с250мл;;
821380;Фр Пр Yirgacheffe W 250мл;;
821381;Фр Пр Yirgacheffe мол 250;;
821382;Латте 380 мл;;
821383;Эфиопия сэт  1;;
821384;Руанда сэт  1;;
821385;Пур овер сэт;;
821386;Кемекс сэт;;
821387;Сифон сэт;;
821388;Пор Овер Колумбия 200 мл;;
821389;Пр Ов Колумбия с/с 250 мл;;
821390;Фр Пр Колумбия 250 мл;;
821391;Фр Пр Колумбия мол 250 мл;;
821392;Фильтр кофе Колумбия230мл;;
821393;Фильтр кофе Иргачиф 230мл;;
821394;Тоффи 150 мл;;
821395;Мокко 300 мл;;
821396;Аэропресс 230 мл;;
821397;Эспрессо 25мл;;
821398;Американо 110мл;;
821399;Эспрессо декаф 25мл;;
821400;Американо декаф 110мл;;
821401;Фр Пр КостаРика мол 250мл;;
821402;Фр Пр Коста Рика 250 мл;;
821403;Фильтр Коста Рика 230 мл;;
821404;Пор Овер Brazil PN 200 мл;;
821405;Пор Ов Brazil PN с/с250мл;;
821406;Фр Пр Brazil PN 250 мл;;
821407;Фр Пр Brazil PN мол 250мл;;
821408;Кемекс Brazil PN 500 мл;;
821409;Эспрессо 50мл;;
821410;Американо 135мл;;
