VALUE,DATE,HOUR
246999,10.01.2009 0:00:00.000000,14
246381,10.01.2009 0:00:00.000000,15
247241,10.01.2009 0:00:00.000000,16
247823,10.01.2009 0:00:00.000000,17
248728,10.01.2009 0:00:00.000000,18
247514,10.01.2009 0:00:00.000000,19
247844,10.01.2009 0:00:00.000000,20
248428,10.01.2009 0:00:00.000000,21
247735,10.01.2009 0:00:00.000000,22
247125,10.01.2009 0:00:00.000000,23
244277,10.01.2009 0:00:00.000000,24
228939,11.01.2009 0:00:00.000000,1
211351,11.01.2009 0:00:00.000000,2
215778,11.01.2009 0:00:00.000000,3
219798,11.01.2009 0:00:00.000000,4
228892,11.01.2009 0:00:00.000000,5
229957,11.01.2009 0:00:00.000000,6
232008,11.01.2009 0:00:00.000000,7
236775,11.01.2009 0:00:00.000000,8
239783,11.01.2009 0:00:00.000000,9
243935,11.01.2009 0:00:00.000000,10
244657,11.01.2009 0:00:00.000000,11
244997,11.01.2009 0:00:00.000000,12
246035,11.01.2009 0:00:00.000000,13
229290,11.01.2009 0:00:00.000000,14
225438,11.01.2009 0:00:00.000000,15
229153,11.01.2009 0:00:00.000000,16
235553,11.01.2009 0:00:00.000000,17
245097,11.01.2009 0:00:00.000000,18
247736,11.01.2009 0:00:00.000000,19
248462,11.01.2009 0:00:00.000000,20
250272,11.01.2009 0:00:00.000000,21
243693,11.01.2009 0:00:00.000000,22
248947,11.01.2009 0:00:00.000000,23
255765,11.01.2009 0:00:00.000000,24
256584,12.01.2009 0:00:00.000000,1
251749,12.01.2009 0:00:00.000000,2
251059,12.01.2009 0:00:00.000000,3
253183,12.01.2009 0:00:00.000000,4
245929,12.01.2009 0:00:00.000000,5
246114,12.01.2009 0:00:00.000000,6
244656,12.01.2009 0:00:00.000000,7
245888,12.01.2009 0:00:00.000000,8
248092,12.01.2009 0:00:00.000000,9
251595,12.01.2009 0:00:00.000000,10
252228,12.01.2009 0:00:00.000000,11
252895,12.01.2009 0:00:00.000000,12
251112,12.01.2009 0:00:00.000000,13
252554,12.01.2009 0:00:00.000000,14
249996,12.01.2009 0:00:00.000000,15
250377,12.01.2009 0:00:00.000000,16
251686,12.01.2009 0:00:00.000000,17
250871,12.01.2009 0:00:00.000000,18
250966,12.01.2009 0:00:00.000000,19
249230,12.01.2009 0:00:00.000000,20
249093,12.01.2009 0:00:00.000000,21
249497,12.01.2009 0:00:00.000000,22
247054,12.01.2009 0:00:00.000000,23
244846,12.01.2009 0:00:00.000000,24
241246,13.01.2009 0:00:00.000000,1
238889,13.01.2009 0:00:00.000000,2
237183,13.01.2009 0:00:00.000000,3
234855,13.01.2009 0:00:00.000000,4
234310,13.01.2009 0:00:00.000000,5
233362,13.01.2009 0:00:00.000000,6
234616,13.01.2009 0:00:00.000000,7
237368,13.01.2009 0:00:00.000000,8
238863,13.01.2009 0:00:00.000000,9
242806,13.01.2009 0:00:00.000000,10
245457,13.01.2009 0:00:00.000000,11
240654,13.01.2009 0:00:00.000000,12
239286,13.01.2009 0:00:00.000000,13
238381,13.01.2009 0:00:00.000000,14
240736,13.01.2009 0:00:00.000000,15
250225,13.01.2009 0:00:00.000000,16
244836,13.01.2009 0:00:00.000000,17
244918,13.01.2009 0:00:00.000000,18
244704,13.01.2009 0:00:00.000000,19
242859,13.01.2009 0:00:00.000000,20
241858,13.01.2009 0:00:00.000000,21
236624,13.01.2009 0:00:00.000000,22
234373,13.01.2009 0:00:00.000000,23
234166,13.01.2009 0:00:00.000000,24
235344,14.01.2009 0:00:00.000000,1
232119,14.01.2009 0:00:00.000000,2
231506,14.01.2009 0:00:00.000000,3
230873,14.01.2009 0:00:00.000000,4
230201,14.01.2009 0:00:00.000000,5
228467,14.01.2009 0:00:00.000000,6
230402,14.01.2009 0:00:00.000000,7
240993,14.01.2009 0:00:00.000000,8
240783,14.01.2009 0:00:00.000000,9
238628,14.01.2009 0:00:00.000000,10
238525,14.01.2009 0:00:00.000000,11
240553,14.01.2009 0:00:00.000000,12
