ID_STOP;STOP_NAME;LATITUDE;LONGITUDE
1312;5 КМ;59.74753208200862;30.511097
1313;50 КМ;59.89017444626454;31.1625404
1314;51 КМ;59.88855713341914;31.1847038
1316;54 КМ - 1;59.88860167910682;31.2297897
1319;56 КМ;59.89042800088583;31.2616062
1320;57 КМ;59.89069525906772;31.2766285
1321;5-Й ПРЕДПОРТОВЫЙ ПРОЕЗД,4 [3, 11];59.83811369740621;30.3107719
1322;5-Й ПРЕДПОРТОВЫЙ ПРОЕЗД,УГ. УЛ. КОСТЮШКО [3, 11];59.84123305217078;30.3098869
1323;5-Я КРАСНОАРМЕЙСКАЯ УЛ. [70, 71];59.91252436077552;30.3076916
1324;6 КМ;59.74886377126202;30.5367012
1326;6-Й ЛЕСОПИЛЬНЫЙ ЗАВОД [115, 115, А];59.82920013509971;30.5409412
